LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId
TN,Tennessee,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,78338596,$,Dollars,"(35.68094058, -85.774490914)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
LA,Louisiana,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,91444720,$,Dollars,"(31.312660644, -92.445680071)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NC,North Carolina,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,251193060,$,Dollars,"(35.466220975, -79.159250463)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
MA,Massachusetts,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,418448784,$,Dollars,"(42.27687047, -72.082690675)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OR,Oregon,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,79269435,$,Dollars,"(44.567449424, -120.155031326)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OH,Ohio,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,215017000,$,Dollars,"(40.060210141, -82.404260056)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
IN,Indiana,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,114381404,$,Dollars,"(39.766910452, -86.149960194)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
RI,Rhode Island,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,17872822,$,Dollars,"(41.708280193, -71.522470314)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WI,Wisconsin,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,296060429,$,Dollars,"(44.393191174, -89.816370742)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
TN,Tennessee,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,232877687,$,Dollars,"(35.68094058, -85.774490914)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
ID,Idaho,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,23410260,$,Dollars,"(43.682630005, -114.363730042)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
ND,North Dakota,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,9686868,$,Dollars,"(47.475319779, -100.118421049)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
NV,Nevada,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,17605891,$,Dollars,"(39.49324039, -117.071840564)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
OR,Oregon,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,104373950,$,Dollars,"(44.567449424, -120.155031326)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
WV,West Virginia,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,33678000,$,Dollars,"(38.665510202, -80.712640135)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
SC,South Carolina,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,18928116,$,Dollars,"(33.998821303, -81.045371207)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
TX,Texas,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,1211322317,$,Dollars,"(31.827240407, -99.426770206)","Table 12- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS
